,district,data_street,rooms,area,price_eur,period,cur_floor,total_floor,lift,seria,house_type,facilities,len,lon,wifi
181,центр,Гертрудес 31,2,60.0,900,30,6,6,1,Сталинка,Кирпичный,,56.9555034,24.1264097,0
182,Дарзциемс,Румбулас 7,1,33.0,280,30,5,5,0,Спец. пр.,Кирпично-панельный,,56.94419150219338,24.17201495127358,0
183,Вецрига,Кунгу 25,1,25.0,400,30,3,6,1,Нов.,Панельно-кирпичный,,56.9457137,24.1094609,0
184,Вецмилгравис,Мелидас 6,3,68.0,280,30,1,5,0,Лит. пр.,Панельно-кирпичный,Лоджия,57.030047,24.107415,0
185,центр,Стабу 90,2,52.0,250,30,1,5,0,Дов. дом,Каменный,,56.9502607,24.1406306,0
186,Пурвциемс,Ницгалес 46 а,1,24.0,30,1,1,5,0,103-я,Кирпично-панельный,,56.9459198,24.1712466,0
187,Кенгарагс,Малнавас 18,1,27.0,250,30,2,5,0,Хрущ.,Кирпичный,Парковочное место,56.9103969,24.1907584,0
188,центр,Чака 99,3,75.0,650,30,2,4,0,Дов. дом,Кирпичный,,56.9576599,24.138482,0
189,Пурвциемс,Дзелзавас 37,2,49.0,280,30,7,9,1,602-я,Панельный,,56.9592177,24.1821118,0
190,Иманта,Даммес 25,2,49.0,280,30,3,9,1,602-я,Панельный,Парковочное место,56.9643089,24.0085353,0
191,Вецрига,Вальню 31/33,2,55.0,320,30,2,4,0,Дов. дом,Кирпичный,,56.9472519,24.1134074,0
192,Югла,Юглас 5,2,45.0,200,30,2,5,0,Хрущ.,Панельный,Парковочное место,56.9877662,24.2438407,0
193,Агенскалнс,Вентспилс 7,1,35.0,230,30,5,5,0,Дов. дом,Каменный,,56.9337423,24.0732215,0
194,Агенскалнс,Марупес 10,2,50.0,550,30,1,5,0,Сталинка,Кирпичный,Парковочное место,56.9326261,24.0720303,0
195,центр,Бривибас 103,2,60.0,60,1,6,6,1,Дов. дом,Каменный,Парковочное место,56.9614438,24.1332825,0
196,центр,Маскавас 18,2,38.0,500,30,4,5,0,Дов. дом,Каменный,,56.941523,24.1192889,0
197,Тейка,Берзпилс 75,3,39.0,145,30,2,2,0,Спец. пр.,Каменный,Парковочное место,56.98437727438065,24.19843167829752,0
198,р-н ул.Краста,Криденера Д. 4,2,43.0,600,30,3,9,1,Нов.,Панельно-кирпичный,"Балкон, Парковочное место",56.9294632,24.1615642,0
199,Вецмилгравис,Скую 29,1,26.0,260,30,3,4,0,Сталинка,Каменный,Парковочное место,57.0351354,24.1083455,0
200,Тейка,Бривибас гатве 314,2,64.0,420,30,3,4,0,Дов. дом,Кирпичный,,56.9791045,24.1868619,0
201,Иманта,Курземес пр. 164,3,62.0,210,30,4,9,1,602-я,Панельный,Лоджия,56.95401915852425,23.998895385971306,0
202,р-он ул. Маскавас,Резнас 5,1,23.0,260,30,1,5,0,Сталинка,Каменный,,56.9358541,24.1613581,0
203,Агенскалнс,Тапешу 24,2,48.0,500,30,3,5,0,Хрущ.,Кирпичный,,56.9487741,24.047711,0
204,центр,Бруниниеку 49,2,38.0,600,30,2,4,1,Рекон.,Каменный,,56.9554655,24.133448,0
205,центр,Бруниниеку 49,2,47.0,750,30,4,4,0,Рекон.,Каменный,,56.9554655,24.133448,0
206,Плявниеки,Илукстес 38,2,52.0,280,30,2,9,1,119-я,Панельный,"Лоджия, Парковочное место",56.9458975,24.198238,0
207,Кипсала,Кипсалас 49,3,90.0,1400,30,3,3,0,Нов.,Кирпичный,"Терраса, Парковочное место",56.9546761,24.0825485,0
208,центр,Стабу 55,1,27.0,290,30,1,6,0,Дов. дом,Каменный,,56.9537233,24.1342448,0
209,Пурвциемс,Дзелзавас 35,1,36.0,250,30,4,9,1,602-я,Панельный,Парковочное место,56.9593174,24.1812968,0
210,Иманта,Слокас 111h,2,62.0,390,30,3,4,0,Спец. пр.,Панельный,Терраса,56.9612751,24.0395604,0
211,Межциемс,Хипократа 11,1,46.0,250,30,3,16,0,104-я,Панельный,"Лоджия, Парковочное место",56.9672311,24.237626,0
212,Дарзциемс,Трасуна 10,1,34.0,190,30,4,5,0,103-я,Кирпичный,,56.9676941,24.1056221,0
213,Гризинькалнс,Звайгжню 16,3,57.5,400,30,2,2,0,Дов. дом,Деревянный,Парковочное место,56.9597886,24.1488789,0
214,центр,Ганибу Д. 11a,2,41.0,545,30,1,6,1,Нов.,Каменный,Балкон,56.9728802,24.1089359,0
215,Вецрига,Алдару 9/1,2,65.0,45,1,3,5,0,Дов. дом,Каменный,,56.9511032,24.1062183,1
216,Болдерая,Финиера 11,2,52.0,200,30,3,5,0,103-я,Кирпично-панельный,Лоджия,57.0271553,24.0538046,0
217,Пурвциемс,Илукстес 107 k-3,1,32.0,280,30,5,9,1,467-я,Панельный,Парковочное место,56.9541371,24.1952406,0
218,Пурвциемс,Дзелзавас 53,1,33.0,220,30,3,9,1,467-я,Панельный,,56.9571562,24.1909973,0
219,Агенскалнс,Ауцес 3,2,50.0,500,30,3,3,0,Дов. дом,Каменный,,56.9428782,24.0818218,0
220,Вецмилгравис,Эммас 19,1,28.0,220,30,1,5,0,Лит. пр.,Кирпично-панельный,Парковочное место,57.0300479,24.1110248,0
221,Кенгарагс,Икшкилес 3,2,38.0,250,30,1,5,0,Хрущ.,Кирпичный,,56.9021175,24.2055421,0
222,Ильгюциемс,Мотору 3,1,25.0,340,30,1,5,0,Спец. пр.,Кирпичный,,56.96949410888418,24.068222968668806,0
